Date,Open,High,Low,Close,Adj Close,Volume,CryptoName 
5/29/2019,"7,806,844,727","7,857,729,492","7,596,376,953","7,775,354,004","7,775,354,004",21076837662,BTC
5/30/2019,"7,777,394,531","8,089,799,805","7,387,274,414","7,473,814,453","7,473,814,453",26273677417,BTC
5/31/2019,"7,474,545,898","7,671,149,902","7,301,193,359","7,660,288,086","7,660,288,086",22660754298,BTC
6/1/2019,"7,659,696,777","7,705,938,965","7,577,272,461","7,650,920,898","7,650,920,898",20090600620,BTC
6/2/2019,"7,652,222,656","7,866,532,227","7,648,436,035","7,824,938,965","7,824,938,965",18138243074,ETH
6/3/2019,"7,823,854,980","7,825,913,574","7,296,105,469","7,299,265,625","7,299,265,625",19565949474,BTC
6/4/2019,"7,301,036,133","7,301,036,133","6,722,485,352","6,849,163,574","6,849,163,574",21868330503,ETH
6/5/2019,"6,846,117,676","7,017,315,918","6,821,556,641","6,968,260,742","6,968,260,742",19380278436,BTC
6/6/2019,"6,964,165,527","7,064,058,594","6,715,220,703","6,936,570,313","6,936,570,313",17270085103,BTC
6/7/2019,"6,940,559,570","7,168,859,863","6,908,077,148","7,095,006,348","7,095,006,348",16883309532,BTC
6/8/2019,"7,088,676,758","7,124,060,059","6,913,007,813","7,015,779,297","7,015,779,297",14573537200,ETH
6/9/2019,"7,011,851,563","7,035,048,828","6,696,885,254","6,791,208,984","6,791,208,984",14672969020,ETH
6/10/2019,"6,794,925,781","7,107,662,109","6,701,435,059","7,068,955,566","7,068,955,566",16513525776,BTC
6/11/2019,"7,072,413,574","7,093,687,012","6,866,020,996","6,997,714,355","6,997,714,355",15100424923,BTC
6/12/2019,"6,995,701,660","7,256,763,184","6,937,423,828","7,211,592,773","7,211,592,773",16851335707,BTC
6/13/2019,"7,212,595,215","7,368,254,395","7,160,825,684","7,296,713,867","7,296,713,867",16550429436,BTC
6/14/2019,"7,296,634,277","7,756,908,691","7,257,343,750","7,741,944,824","7,741,944,824",17659848879,ETH
6/15/2019,"7,738,306,152","7,889,141,602","7,674,767,578","7,870,661,621","7,870,661,621",16359588799,BTC
6/16/2019,"7,873,391,602","8,313,682,617","7,849,450,684","8,017,551,758","8,017,551,758",20812547519,BTC
6/17/2019,"8,012,591,797","8,390,819,336","8,012,591,797","8,302,839,844","8,302,839,844",13863928895,BTC
6/18/2019,"8,316,304,688","8,327,391,602","8,043,961,426","8,109,805,176","8,109,805,176",14152087499,BTC
6/19/2019,"8,107,458,008","8,276,997,070","8,098,856,934","8,253,925,781","8,253,925,781",13837484833,BTC
6/20/2019,"8,253,515,625","8,496,760,742","8,178,448,242","8,435,329,102","8,435,329,102",15801542085,BTC
6/21/2019,"8,431,881,836","8,909,284,180","8,365,234,375","8,909,284,180","8,909,284,180",18112684983,ETH
6/22/2019,"8,936,832,031","9,798,749,023","8,876,332,031","9,398,578,125","9,398,578,125",26342778750,BTC
6/23/2019,"9,394,186,523","9,889,308,594","9,263,343,750","9,536,269,531","9,536,269,531",18446693859,ETH
6/24/2019,"9,533,896,484","9,713,699,219","9,324,582,031","9,659,918,945","9,659,918,945",16906808632,BTC
6/25/2019,"9,656,475,586","10,372,481,445","9,656,475,586","10,372,481,445","10,372,481,445",21886683363,ETH
6/26/2019,"10,361,629,883","12,135,598,633","10,339,588,867","11,443,038,086","11,443,038,086",39654073839,BTC
6/27/2019,"11,443,823,242","11,707,297,852","9,228,685,547","9,833,768,555","9,833,768,555",35154792499,BTC
6/28/2019,"9,815,620,117","10,936,820,313","9,605,715,820","10,903,563,477","10,903,563,477",30835121525,BTC
6/29/2019,"10,897,791,016","10,897,919,922","10,113,562,500","10,509,895,508","10,509,895,508",26297177039,ETH
6/30/2019,"10,485,833,008","10,718,986,328","9,504,909,180","9,520,881,836","9,520,881,836",23990193993,BTC
7/1/2019,"9,503,080,078","9,870,463,867","8,938,224,609","9,376,392,578","9,376,392,578",26028695677,BTC
7/2/2019,"9,381,308,594","9,656,795,898","8,618,661,133","9,566,484,375","9,566,484,375",27469165572,BTC
7/3/2019,"9,581,500,000","10,603,716,797","9,581,500,000","10,597,433,594","10,597,433,594",27285047218,ETH
7/4/2019,"10,607,577,148","10,636,914,063","9,894,574,219","9,937,920,898","9,937,920,898",22967791101,BTC
7/5/2019,"9,927,080,078","10,166,069,336","9,646,300,781","9,772,969,727","9,772,969,727",21220895891,ETH
7/6/2019,"9,776,605,469","10,346,726,563","9,776,605,469","9,979,533,203","9,979,533,203",18779283841,ETH
7/7/2019,"9,987,604,492","10,281,101,563","9,926,337,891","10,198,811,523","10,198,811,523",17251232976,BTC
7/8/2019,"10,195,026,367","11,008,816,406","10,146,700,195","10,953,472,656","10,953,472,656",20935727857,ETH
7/9/2019,"10,952,988,281","11,399,497,070","10,905,512,695","11,221,008,789","11,221,008,789",25137363014,BTC
7/10/2019,"11,219,996,094","11,672,978,516","10,405,086,914","10,797,560,547","10,797,560,547",29868414975,BTC
7/11/2019,"10,782,639,648","10,787,060,547","9,915,953,125","10,096,293,945","10,096,293,945",25417328757,BTC
7/12/2019,"10,092,416,992","10,559,655,273","9,919,601,563","10,473,773,438","10,473,773,438",20861316438,BTC
7/13/2019,"10,471,238,281","10,496,793,945","9,669,352,539","10,098,285,156","10,098,285,156",18652322461,BTC
7/14/2019,"10,088,216,797","10,150,426,758","9,080,853,516","9,098,846,680","9,098,846,680",19948859649,ETH
7/15/2019,"9,100,425,781","9,811,165,039","8,868,985,352","9,674,610,352","9,674,610,352",22540500855,BTC
7/16/2019,"9,675,999,023","9,808,359,375","8,423,459,961","8,452,749,023","8,452,749,023",21539536705,ETH
7/17/2019,"8,447,763,672","8,879,264,648","8,166,900,391","8,633,601,563","8,633,601,563",21882733799,ETH
7/18/2019,"8,638,252,930","9,552,590,820","8,358,309,570","9,472,157,227","9,472,157,227",22366833498,BTC
7/19/2019,"9,461,033,203","9,516,807,617","9,113,320,313","9,378,670,898","9,378,670,898",18459845871,ETH
7/20/2019,"9,374,293,945","9,840,711,914","9,307,906,250","9,589,967,773","9,589,967,773",17997425920,ETH
7/21/2019,"9,599,222,656","9,656,543,945","9,248,769,531","9,448,137,695","9,448,137,695",15270353604,BTC
7/22/2019,"9,445,113,281","9,493,153,320","9,058,403,320","9,229,929,688","9,229,929,688",14576423508,ETH
7/23/2019,"9,233,178,711","9,276,841,797","8,848,762,695","8,877,623,047","8,877,623,047",16007099892,BTC
7/24/2019,"8,865,932,617","8,891,996,094","8,625,369,141","8,806,174,805","8,806,174,805",15615311858,ETH
7/25/2019,"8,803,634,766","9,110,589,844","8,742,775,391","8,892,676,758","8,892,676,758",14195091511,BTC
7/26/2019,"8,893,830,078","8,897,020,508","8,715,552,734","8,863,532,227","8,863,532,227",13017151606,ETH
7/27/2019,"8,864,306,641","9,130,253,906","8,451,546,875","8,510,954,102","8,510,954,102",15102392964,BTC
7/28/2019,"8,523,480,469","8,603,148,438","8,311,523,438","8,582,595,703","8,582,595,703",12343276122,BTC
7/29/2019,"8,578,389,648","8,700,257,813","8,520,017,578","8,542,986,328","8,542,986,328",12377173980,BTC
7/30/2019,"8,545,842,773","8,702,759,766","8,472,812,500","8,610,653,320","8,610,653,320",12394968227,BTC
7/31/2019,"8,607,630,859","9,109,954,102","8,669,586,914","9,109,954,102","9,109,954,102",15022603972,BTC
8/1/2019,"9,102,560,547","9,458,067,383","8,976,669,922","9,386,741,211","9,386,741,211",15493433951,BTC
8/2/2019,"9,388,884,766","9,594,118,164","9,350,029,297","9,454,787,109","9,454,787,109",15720946670,BTC
8/3/2019,"9,455,779,297","9,840,061,523","9,441,600,586","9,727,650,391","9,727,650,391",13800528601,ETH
8/4/2019,"9,727,565,430","9,913,295,898","9,546,568,359","9,875,908,203","9,875,908,203",14881938032,ETH
8/5/2019,"9,867,402,344","10,613,419,922","9,867,402,344","10,500,031,250","10,500,031,250",21235471599,ETH
8/6/2019,"10,503,357,422","10,960,326,172","10,078,773,438","10,243,875,977","10,243,875,977",21093529993,BTC
8/7/2019,"10,241,916,992","10,733,745,117","10,195,099,609","10,658,732,422","10,658,732,422",19810003942,BTC
8/8/2019,"10,669,506,836","10,691,392,578","10,330,717,773","10,697,322,266","10,697,322,266",17415491000,BTC
